user_id,age,region,device,primary_interest,secondary_interest_1,secondary_interest_2,creator_affinity,avg_session_minutes
0,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687
1,19,EMEA,Android,DIY,Food,Travel,0.48404805663601974,5.887678300855298
2,34,LATAM,Android,Education,Comedy,Sports,0.7123000079341322,16.61308740744649
3,35,EMEA,Android,Sports,Food,Dance,0.6369115947207709,11.437380402563388
4,13,EMEA,Web,DIY,Fashion,Sports,0.2992158522479164,0.3358354290314267
5,17,EMEA,iOS,Fashion,Food,Comedy,0.5141803311299437,8.990275958025734
6,29,EMEA,iOS,Food,Music,Fashion,0.450660328875584,11.125176393099302
7,25,APAC,Web,Dance,Food,Sports,0.8774670200089054,7.304628846777338
8,27,LATAM,iOS,Education,Travel,DIY,0.503074045578487,11.733020157363097
9,21,LATAM,Android,Sports,DIY,Comedy,0.8572441861111142,8.307294486397709
10,35,NA,Android,Comedy,Travel,Fashion,0.5539116751207565,34.551558659497196
11,34,EMEA,iOS,Education,Food,Comedy,0.8028004507564881,6.923908850997634
12,28,LATAM,Android,Music,Comedy,DIY,0.308225542808952,4.9494822524009345
13,37,LATAM,iOS,Fashion,Food,Dance,0.9397201757267699,16.064159358879955
14,31,NA,iOS,Comedy,Food,Dance,0.5844479126391346,7.603698817813656
15,21,APAC,Android,Fashion,Travel,Sports,0.40783859650104515,8.635648665463446
16,30,LATAM,iOS,Travel,DIY,Food,0.39319168509184554,8.107060461688414
17,20,EMEA,Android,Travel,DIY,Food,0.41206183085997755,15.482218134547827
18,35,NA,Web,Sports,Travel,DIY,0.49337933833437414,3.8385526333357016
19,27,APAC,Android,Sports,Music,Fashion,0.7740156261404934,16.591178826667445
20,26,NA,iOS,Travel,DIY,Food,0.9596824343206349,13.227943523985566
21,22,NA,iOS,Education,Comedy,Travel,0.7352299440989059,27.60773079056449
22,37,APAC,iOS,Food,Music,Travel,0.6377330167552806,10.530198125531111
23,26,APAC,iOS,Comedy,DIY,Travel,0.5588782464137078,4.084210466576263
24,24,NA,Web,Music,Sports,Food,0.8625555736300932,10.611593394287674
25,25,LATAM,iOS,Comedy,Food,Travel,0.8797257619568559,11.545234735367409
26,32,EMEA,iOS,Sports,Comedy,Music,0.43443013954625487,20.229948727881307
27,30,APAC,Android,Food,Education,Fashion,0.9627361989227441,4.0754911757691294
28,31,LATAM,iOS,Travel,Education,Music,0.5160922905651057,2.384122575141883
29,31,LATAM,iOS,Food,Education,Comedy,0.8400624553532223,10.767384322776014
30,45,EMEA,iOS,DIY,Comedy,Sports,0.9734559024657867,28.370064115563668
31,24,EMEA,Android,Fashion,Education,Comedy,0.7629264806844891,14.551299163090142
32,23,EMEA,Android,Music,Travel,Fashion,0.329240581160955,15.119353609333483
33,21,EMEA,iOS,Music,Education,Comedy,0.6689095641391447,2.9525101374771534
